community,size,top_nodes,mean_pagerank
0,29,Shen_2017_NAT PHOTONICS; Hughes_2018_OPTICA; Clements_2016_OPTICA; RECK_1994_PHYS REV LETT; Williamson_2020_IEEE J SEL TOP QUANT,0.011257354351393004
2,15,Feldmann_2021_NATURE; Feldmann_2019_NATURE; Xu_2021_NATURE; Shastri_2021_NAT PHOTONICS; Tait_2017_SCI REP-UK,0.0256947774442438
1,12,Lin_2018_SCIENCE; Zuo_2019_OPTICA; Zhu_2022_NAT COMMUN; Chang_2018_SCI REP-UK; Fu_2023_NAT COMMUN,0.011961860815923098
3,8,Brunner_2013_NAT COMMUN; Appeltant_2011_NAT COMMUN; Paquot_2012_SCI REP-UK; Larger_2012_OPT EXPRESS; Vandoorne_2014_NAT COMMUN,0.014283712756479779
4,2,JOHN_1987_PHYS REV LETT; YABLONOVITCH_1987_PHYS REV LETT,0.015151515151515152
